Tid;Temp_Topp[C];Temp_boks[C];Kjølevann_inn[C];Kjølevann_ut[C];Turtall[RPM];Dreiemoment[%];Effekt[W];Kjølevann[l/min]
15:46:19;-98,902987;-35,224041;12,026622;16,332370;-1398,094573;-115,681386;3387,338893;9,225267
15:46:29;-99,574414;-36,418133;11,998011;16,385052;-1398,869326;-116,528345;3414,030062;9,357394
15:46:39;-100,332058;-37,425370;11,967128;16,304294;-1393,009419;-116,691074;3404,476213;9,510685
15:46:49;-101,024476;-38,432767;11,968670;16,278390;-1395,461731;-115,402943;3372,822064;9,475527
15:46:59;-101,331120;-39,499452;11,969169;16,317591;-1404,284030;-115,318918;3391,674206;9,403751
15:47:09;-101,518472;-40,567069;11,981979;16,237727;-1401,183060;-115,917989;3401,765160;9,526510
15:47:19;-101,860142;-41,490648;11,947519;16,198447;-1399,646700;-116,473839;3414,329496;9,482479
15:47:29;-102,360507;-42,279087;11,952703;16,228680;-1392,786216;-117,023825;3413,637213;9,560045
15:47:39;-102,935454;-43,246952;11,958437;16,234874;-1392,753393;-117,608703;3430,617515;9,504114
15:47:49;-103,592682;-44,066983;11,938190;16,287812;-1398,858817;-118,263069;3464,827695;9,362115
15:47:59;-104,442485;-44,798799;11,959055;16,231208;-1395,999463;-118,770179;3472,572145;9,452133
15:48:09;-105,085335;-45,645673;11,966859;16,362556;-1394,698138;-119,352051;3486,331824;9,357492
15:48:19;-105,755480;-46,327157;11,994149;16,378188;-1400,504826;-119,093912;3493,275063;9,180044
15:48:29;-106,096115;-47,122951;11,988607;16,398992;-1396,710523;-120,236415;3517,232165;9,261670
15:48:39;-106,675158;-47,857437;12,032676;16,436113;-1400,064911;-121,051044;3549,566567;9,348592
15:48:49;-107,203650;-48,491697;12,028858;16,536824;-1401,267106;-121,256747;3558,651452;9,130607
15:48:59;-107,573940;-49,312065;12,049914;16,566539;-1394,352123;-121,567765;3550,172929;9,254767
15:49:09;-108,293885;-49,953901;12,066084;16,515100;-1394,260864;-121,784605;3556,272605;9,401802
15:49:19;-108,436005;-50,563095;12,059887;16,568870;-1394,293705;-121,466737;3547,073959;9,332380
15:49:29;-108,624872;-51,297642;12,066293;16,747474;-1396,642898;-122,219272;3575,062855;8,808916
15:49:39;-108,910431;-51,974089;12,065550;16,745782;-1386,978864;-122,603178;3561,477322;8,980055
15:49:49;-109,202497;-52,578979;12,076524;16,733411;-1394,212286;-123,242364;3598,715701;8,882318
